0,00:27:57.600 07/13/2019,2061:520095.600,0.00,358.65,-2453635.330,-4767167.580
1,00:27:58.020 07/13/2019,2061:520096.020,0.00,358.65,-2453635.330,-4767167.560
2,00:28:00.000 07/13/2019,2061:520096.440,0.00,358.65,-2453635.320,-4767167.530
3,00:27:58.860 07/13/2019,2061:520096.860,0.00,358.65,-2453635.320,-4767167.510
4,00:28:01.000 07/13/2019,2061:520097.280,0.00,358.65,-2453635.310,-4767167.490
5,00:27:59.700 07/13/2019,2061:520097.700,0.29,357.80,-2453635.320,-4767167.440
6,00:28:00.060 07/13/2019,2061:520098.060,0.48,356.03,-2453635.320,-4767167.330
7,00:28:02.000 07/13/2019,2061:520098.480,0.93,351.95,-2453635.270,-4767167.160
8,00:28:00.900 07/13/2019,2061:520098.900,1.54,346.71,-2453635.240,-4767166.830
9,00:28:01.260 07/13/2019,2061:520099.260,2.06,342.42,-2453635.250,-4767166.420
10,00:28:01.680 07/13/2019,2061:520099.680,2.66,339.26,-2453635.310,-4767165.800
11,00:28:02.040 07/13/2019,2061:520100.040,3.17,339.07,-2453635.360,-4767165.160
12,00:28:04.000 07/13/2019,2061:520100.460,3.73,340.58,-2453635.430,-4767164.300
13,00:28:02.880 07/13/2019,2061:520100.880,4.26,343.06,-2453635.480,-4767163.310
14,00:28:03.240 07/13/2019,2061:520101.240,4.70,346.19,-2453635.440,-4767162.380
15,00:28:03.600 07/13/2019,2061:520101.600,5.21,349.74,-2453635.290,-4767161.350
16,00:28:04.020 07/13/2019,2061:520102.020,5.60,353.60,-2453635.030,-4767160.140
17,00:28:06.000 07/13/2019,2061:520102.440,6.04,356.71,-2453634.600,-4767158.860
18,00:28:04.860 07/13/2019,2061:520102.860,6.44,358.79,-2453634.040,-4767157.530
19,00:28:05.280 07/13/2019,2061:520103.280,6.64,0.43,-2453633.340,-4767156.190
20,00:28:05.640 07/13/2019,2061:520103.640,6.78,0.60,-2453632.710,-4767155.030
21,00:28:06.000 07/13/2019,2061:520104.000,6.87,0.48,-2453632.100,-4767153.840
22,00:28:08.000 07/13/2019,2061:520104.420,7.01,0.47,-2453631.310,-4767152.440
23,00:28:06.780 07/13/2019,2061:520104.780,7.01,0.52,-2453630.660,-4767151.270
24,00:28:07.200 07/13/2019,2061:520105.200,6.79,0.42,-2453629.970,-4767149.880
25,00:28:07.620 07/13/2019,2061:520105.620,6.68,0.47,-2453629.320,-4767148.580
26,00:28:08.100 07/13/2019,2061:520106.100,6.43,0.45,-2453628.570,-4767147.130
